    31    4   0.17392742256872E+00   0.32607257743127E+00   0.32607257743127E+00   0.17392742256872E+00
     1    2    9   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     1    2   10   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     1    2   11   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     1    2   12   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     1    2   13   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     1    3    1   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     1    3    2   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     1    3    3   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     1    3    4   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     1    3    5   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     1    3    6   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     1    3    7   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     1    3    8   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     1    3    9   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     1    3   10   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     1    3   11   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     1    3   12   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     1    3   13   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     1    4    1   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     1    4    2   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     1    4    3   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     1    4    4   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     1    4    5   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     1    4    6   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     1    4    7   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     1    4    8   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     1    4    9   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     1    4   10   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     1    4   11   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     1    4   12   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     1    4   13   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     1    5    1   0.24623350840100E-22   0.28278122040414E-22   0.34370448427994E-22   0.40729585219967E-22
     1    5    2   0.77743308099424E-23   0.89113199167769E-23   0.10789939231368E-22   0.12766316228693E-22
     1    5    3   0.25397634091590E-23   0.28946755880842E-23   0.34641645431428E-23   0.40865705807745E-23
     1    5    4   0.85672488519416E-24   0.95876304405761E-24   0.11162873175996E-23   0.13084283221960E-23
     1    5    5   0.33664474497639E-24   0.36005260043940E-24   0.41309656569567E-24   0.50931558019238E-24
     1    5    6   0.17040348442298E-24   0.18447791954872E-24   0.25532813292569E-24   0.48382095229255E-24
     1    5    7   0.13527220525815E-24   0.17267263505288E-24   0.43055353628766E-24   0.11362323158046E-23
     1    5    8   0.17815524780375E-24   0.30178407483720E-24   0.12133513086743E-23   0.34746351958892E-23
     1    5    9   0.36055445119689E-24   0.75564833145063E-24   0.37046326856266E-23   0.10806827311986E-22
     1    5   10   0.96337066478245E-24   0.22333551597292E-23   0.11750593663552E-22   0.34412703274313E-22
     1    5   11   0.28408297811342E-23   0.68293757514877E-23   0.36753428218067E-22   0.10775927209826E-21
     1    5   12   0.88836485413162E-23   0.21614984896354E-22   0.11720884547798E-21   0.34385105106193E-21
     1    5   13   0.27661844399571E-22   0.67579565712732E-22   0.36729532753491E-21   0.10776612794524E-20
     1    6    1   0.14472830687805E-22   0.16411839734596E-22   0.19677775258724E-22   0.23274680603268E-22
     1    6    2   0.45885578005411E-23   0.51882021146422E-23   0.61837752690040E-23   0.72978115437193E-23
     1    6    3   0.15182809786178E-23   0.17014987474989E-23   0.19925854413912E-23   0.23398156767264E-23
     1    6    4   0.53177247973717E-24   0.57979570398928E-24   0.65571414072882E-24   0.75759775732954E-24
     1    6    5   0.22444391321803E-24   0.23577415907901E-24   0.25838751553273E-24   0.32999122472301E-24
     1    6    6   0.12842356206686E-24   0.13902462903407E-24   0.18877955198659E-24   0.38142955721320E-24
     1    6    7   0.11299771197800E-24   0.14440300259350E-24   0.35706314027770E-24   0.96454249056882E-24
     1    6    8   0.15360593210639E-24   0.25968968768435E-24   0.10236759830402E-23   0.29786578796131E-23
     1    6    9   0.30785217604539E-24   0.64873820181171E-24   0.31306408746845E-23   0.92722127122266E-23
     1    6   10   0.81464339944845E-24   0.19124344585936E-23   0.99229477264719E-23   0.29531419733195E-22
     1    6   11   0.23915611153931E-23   0.58354876748659E-23   0.31036981042147E-22   0.92488591984215E-22
     1    6   12   0.74693787258869E-23   0.18479708070947E-22   0.98984840226622E-22   0.29524868899070E-21
     1    6   13   0.23244246224796E-22   0.57728789209382E-22   0.31020031474847E-21   0.92567739802923E-21
     1    7    1   0.85116502806514E-23   0.95270266373033E-23   0.11266069658914E-22   0.13302934758616E-22
     1    7    2   0.27166490537161E-23   0.30276974068796E-23   0.35475680403269E-23   0.41737649581027E-23
     1    7    3   0.91668104735430E-24   0.10077602139140E-23   0.11501407305698E-23   0.13421692598669E-23
     1    7    4   0.33769198208591E-24   0.35979214926826E-24   0.38929249729777E-24   0.44204442336790E-24
     1    7    5   0.15212349931841E-24   0.15927137568873E-24   0.17000246317432E-24   0.22316118504797E-24
     1    7    6   0.10092230197831E-24   0.10881182792471E-24   0.14866000932088E-24   0.31142482218286E-24
     1    7    7   0.97250906486439E-25   0.12426415983236E-24   0.30266564975936E-24   0.82930427846737E-24
     1    7    8   0.13464083233490E-24   0.22694731660443E-24   0.87958682033377E-24   0.25762972659570E-23
     1    7    9   0.26648447551372E-24   0.56394799297342E-24   0.26823836226313E-23   0.80311529397841E-23
     1    7   10   0.69783720681329E-24   0.16566857520485E-23   0.84968911296855E-23   0.25597821124953E-22
     1    7   11   0.20394786141526E-23   0.50452214361317E-23   0.26552787878898E-22   0.80169992149637E-22
     1    7   12   0.63585697112067E-23   0.15982353355886E-22   0.84680444425455E-22   0.25574247519515E-21
     1    7   13   0.19776182013183E-22   0.49894094279344E-22   0.26531062571424E-21   0.80136499776998E-21
     1    8    1   0.50089738782689E-23   0.55321328528823E-23   0.64496812305371E-23   0.76079801043614E-23
     1    8    2   0.16154612754210E-23   0.17719068791082E-23   0.20367544736892E-23   0.23895616821833E-23
     1    8    3   0.56109534887310E-24   0.60355720666664E-24   0.66946291105131E-24   0.77180000297272E-24
     1    8    4   0.22088391133864E-24   0.22964283720281E-24   0.23811580374283E-24   0.26631621717470E-24
     1    8    5   0.98454581206257E-25   0.11486085607519E-24   0.12067158843071E-24   0.16021964996456E-24
     1    8    6   0.83096928435885E-25   0.88268518613427E-25   0.12228364718903E-24   0.26009622427850E-24
     1    8    7   0.85738094845899E-25   0.10971809825538E-24   0.26214208594917E-24   0.71963051451857E-24
     1    8    8   0.11968020209757E-24   0.20105180284454E-24   0.76437156172414E-24   0.22418157284919E-23
     1    8    9   0.23403086633045E-24   0.49738772807927E-24   0.23212956927693E-23   0.69872008941401E-23
     1    8   10   0.60489890133279E-24   0.14525002069647E-23   0.73306318839217E-23   0.22264296427067E-22
     1    8   11   0.17594639775391E-23   0.44282859647766E-23   0.22924813671536E-22   0.69698207114819E-22
     1    8   12   0.54767552769734E-23   0.14005586800068E-22   0.73042042946906E-22   0.22254365956078E-21
     1    8   13   0.17025640580129E-22   0.43727832996766E-22   0.22901572898305E-21   0.69649438402530E-21
     1    9    1   0.29499932551016E-23   0.32162628582307E-23   0.37013474750699E-23   0.43525150724269E-23
     1    9    2   0.96701516357591E-24   0.10434871521113E-23   0.11763169357880E-23   0.13688873201789E-23
     1    9    3   0.35025890593227E-24   0.37051636580069E-24   0.39386994654309E-24   0.44852373443199E-24
     1    9    4   0.13848176666906E-24   0.15088538403381E-24   0.15581667570776E-24   0.17079897742268E-24
     1    9    5   0.66692554627336E-25   0.87341722642796E-25   0.93223612745480E-25   0.12692659047482E-24
     1    9    6   0.70385067132676E-25   0.75297614837885E-25   0.10488390933768E-24   0.22551345551429E-24
     1    9    7   0.76984090095756E-25   0.99375844754854E-25   0.23209916185678E-24   0.63171694579910E-24
     1    9    8   0.10759841704811E-24   0.18114273230996E-24   0.66770460965113E-24   0.19672719902157E-23
     1    9    9   0.20762227109555E-24   0.44241474506353E-24   0.20302001455675E-23   0.61288750114085E-23
     1    9   10   0.53012742629108E-24   0.12874719943660E-23   0.64168510908477E-23   0.19518261739771E-22
     1    9   11   0.15337417685014E-23   0.39134880627258E-23   0.20054239273306E-22   0.61122994180734E-22
     1    9   12   0.47660053757852E-23   0.12360444008500E-22   0.63859849741536E-22   0.19513952751760E-21
     1    9   13   0.14807462868903E-22   0.38624312770979E-22   0.19993279269215E-21   0.61114071017873E-21
     1   10    1   0.17398823825828E-23   0.18733897917998E-23   0.21251850160387E-23   0.24919107581106E-23
     1   10    2   0.58445094058769E-24   0.62280040597208E-24   0.68359163517536E-24   0.79270765762412E-24
     1   10    3   0.22461840162656E-24   0.23187996572837E-24   0.24004079629023E-24   0.26885537458208E-24
     1   10    4   0.85319997382136E-25   0.10244383977566E-24   0.11014676218934E-24   0.12459048313616E-24
     1   10    5   0.47905156973684E-25   0.69850205262502E-25   0.76373047344512E-25   0.11121426419234E-24
     1   10    6   0.61011747189584E-25   0.66336308188910E-25   0.94522227740096E-25   0.20632063998400E-24
     1   10    7   0.70033069958560E-25   0.92042010186624E-25   0.20786840019667E-24   0.56165298155797E-24
     1   10    8   0.97691736353388E-25   0.16552883097922E-24   0.59126372141753E-24   0.17398572222355E-23
     1   10    9   0.18588925667986E-24   0.39945896110268E-24   0.17961095073373E-23   0.54077672744256E-23
     1   10   10   0.46882690454783E-24   0.11528510364592E-23   0.56698600526505E-23   0.17211824349617E-22
     1   10   11   0.13487749207272E-23   0.34938375026789E-23   0.17695258002004E-22   0.53907842642387E-22
     1   10   12   0.41838296864638E-23   0.11032885042141E-22   0.56426862354937E-22   0.17210326478638E-21
     1   10   13   0.12990627241108E-22   0.34445590805156E-22   0.17665551499023E-21   0.53883601684087E-21
     1   11    1   0.60684728377052E-24   0.64683844829083E-24   0.71424347806472E-24   0.84926018587670E-24
     1   11    2   0.22481387327868E-24   0.23292583709216E-24   0.24261594251110E-24   0.29838385259249E-24
     1   11    3   0.85030642343204E-25   0.99644704379465E-25   0.10655976057241E-24   0.14657280419161E-24
     1   11    4   0.37433923917708E-25   0.57241588897484E-25   0.67270124386805E-25   0.10239117654209E-24
     1   11    5   0.30292773073829E-25   0.52092141361390E-25   0.58703023451061E-25   0.11246717440219E-24
     1   11    6   0.49492697514638E-25   0.55551974038006E-25   0.83355762586211E-25   0.20367245004458E-24
     1   11    7   0.59332442883957E-25   0.83250425457210E-25   0.17844233056140E-24   0.48882597256897E-24
     1   11    8   0.82335575068877E-25   0.14659521535390E-24   0.48803043720458E-24   0.14252290726019E-23
     1   11    9   0.15208597511650E-24   0.33872886164217E-24   0.14507796320797E-23   0.43465689069897E-23
     1   11   10   0.37607816012587E-24   0.95087225289819E-24   0.45514478443750E-23   0.13758762772885E-22
     1   11   11   0.10674776586534E-23   0.28548388209778E-23   0.14177394818349E-22   0.42947295015268E-22
     1   11   12   0.32954631847624E-23   0.89805700150882E-23   0.45214284169388E-22   0.13690584945717E-21
     1   11   13   0.10223892946317E-22   0.28026294666982E-22   0.14158347316666E-21   0.42920209764164E-21
     2    1    1   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    1    2   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    1    3   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    1    4   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    1    5   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    1    6   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    1    7   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    1    8   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    1    9   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    1   10   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    1   11   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    1   12   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    1   13   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    2    1   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    2    2   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    2    3   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    2    4   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    2    5   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    2    6   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    2    7   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    2    8   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    2    9   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    2   10   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    2   11   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    2   12   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    2   13   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    3    1   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    3    2   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    3    3   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    3    4   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    3    5   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    3    6   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    3    7   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    3    8   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    3    9   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    3   10   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    3   11   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    3   12   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    3   13   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    4    1   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    4    2   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    4    3   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    4    4   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    4    5   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    4    6   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    4    7   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    4    8   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    4    9   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    4   10   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    4   11   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    4   12   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    4   13   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
     2    5    1   0.24607221996124E-22   0.28263683662767E-22   0.34363675059291E-22   0.40726269966567E-22
     2    5    2   0.77568502766336E-23   0.88961056263883E-23   0.10783343468949E-22   0.12768393979308E-22
     2    5    3   0.25221590660403E-23   0.28793593653111E-23   0.34582373008059E-23   0.40814683612597E-23
     2    5    4   0.83854506101247E-24   0.94320942665730E-24   0.11079896678778E-23   0.12976790216633E-23
     2    5    5   0.31808121518508E-24   0.34406422869249E-24   0.39421875318465E-24   0.47734637391298E-24
     2    5    6   0.15025995012992E-24   0.16138721119122E-24   0.20906505802607E-24   0.37485562844849E-24
     2    5    7   0.10830402907063E-24   0.13330420541690E-24   0.29809289504102E-24   0.80195523453763E-24
     2    5    8   0.12907987301413E-24   0.21147883840772E-24   0.79622490148543E-24   0.24158359429923E-23
     2    5    9   0.24281186202051E-24   0.50721298680175E-24   0.24118360505872E-23   0.75042271664022E-23
     2    5   10   0.62447953441852E-24   0.14741414789833E-23   0.76405265770619E-23   0.23907814970907E-22
     2    5   11   0.18152709454964E-23   0.44881814106076E-23   0.23886618753222E-22   0.74895582413440E-22
     2    5   12   0.56494925992787E-23   0.14192431666239E-22   0.76196521870939E-22   0.23892524467360E-21
     2    5   13   0.17562016707563E-22   0.44335154395023E-22   0.23869658081326E-21   0.74867751961624E-21
     2    6    1   0.14456705306848E-22   0.16397684701169E-22   0.19671517605418E-22   0.23273936536974E-22
     2    6    2   0.45726050459658E-23   0.51745519772868E-23   0.61788438412378E-23   0.72975115934162E-23
     2    6    3   0.15020899274176E-23   0.16875274405642E-23   0.19879415311110E-23   0.23356191809083E-23
     2    6    4   0.51509404214425E-24   0.56589216008609E-24   0.64630514589506E-24   0.74849260099678E-24
     2    6    5   0.20844666321258E-24   0.22030690035289E-24   0.24165952584463E-24   0.30001305472790E-24
     2    6    6   0.11040775433274E-24   0.11737743237371E-24   0.15036565670011E-24   0.28477518868344E-24
     2    6    7   0.89151660415324E-25   0.10991971166317E-24   0.24513073115113E-24   0.67030143619675E-24
     2    6    8   0.11096305399942E-24   0.18165488445720E-24   0.67530239422255E-24   0.20474108457875E-23
     2    6    9   0.20760259023513E-24   0.43590998417577E-24   0.20436003280970E-23   0.63684281175615E-23
     2    6   10   0.52783937235411E-24   0.12637509849432E-23   0.64594775823750E-23   0.20298133895075E-22
     2    6   11   0.15261499351576E-23   0.38396503785724E-23   0.20189137570561E-22   0.63580050739670E-22
     2    6   12   0.47408228709876E-23   0.12132543074412E-22   0.64290454070854E-22   0.20302587145848E-21
     2    6   13   0.14726002052368E-22   0.37881969123820E-22   0.20177256547424E-21   0.63568760252904E-21
     2    7    1   0.84970230478727E-23   0.95140635203924E-23   0.11262019024905E-22   0.13301205752964E-22
     2    7    2   0.27019347390157E-23   0.30149525185619E-23   0.35412221409329E-23   0.41732649283033E-23
     2    7    3   0.90179238014610E-24   0.99516637377621E-24   0.11460664173496E-23   0.13373544790789E-23
     2    7    4   0.32300351895854E-24   0.34543295307542E-24   0.38116030753733E-24   0.43372029070564E-24
     2    7    5   0.14117603975423E-24   0.14500786652170E-24   0.15458066392951E-24   0.19549628676884E-24
     2    7    6   0.84763943879366E-25   0.88506815417626E-25   0.11430231586909E-24   0.22592298268294E-24
     2    7    7   0.75932890719062E-25   0.93801170306825E-25   0.20753923914713E-24   0.56735139705162E-24
     2    7    8   0.97284581801916E-25   0.15876002944211E-24   0.58003134355664E-24   0.17509828876032E-23
     2    7    9   0.18023086738634E-24   0.37960955174388E-24   0.17554059672999E-23   0.54454021759942E-23
     2    7   10   0.45236111466344E-24   0.10966656069045E-23   0.55463212146219E-23   0.17371738701681E-22
     2    7   11   0.13006920304761E-23   0.33263439250996E-23   0.17322905923314E-22   0.54365001319607E-22
     2    7   12   0.40318198503341E-23   0.10502261586469E-22   0.55215438841550E-22   0.17365409135575E-21
     2    7   13   0.12516353164931E-22   0.32805754992453E-22   0.17299751478155E-21   0.54385131155057E-21
     2    8    1   0.49958355785860E-23   0.55204360895346E-23   0.64436644515995E-23   0.76028798110306E-23
     2    8    2   0.16021174622237E-23   0.17603468092420E-23   0.20340924150121E-23   0.23859882092511E-23
     2    8    3   0.54761511351418E-24   0.59288813295861E-24   0.66469332557197E-24   0.76945561681291E-24
     2    8    4   0.20793921211945E-24   0.21776479605516E-24   0.22844720864351E-24   0.25812679203729E-24
     2    8    5   0.89324508831757E-25   0.10180755185584E-24   0.10640908444912E-24   0.13749798895372E-24
     2    8    6   0.66723371850800E-25   0.70951760415166E-25   0.91933451620567E-25   0.18911711875577E-24
     2    8    7   0.65963744493360E-25   0.82706088874222E-25   0.17950461362961E-24   0.49217531990659E-24
     2    8    8   0.86577259405425E-25   0.14106371765208E-24   0.50294250521672E-24   0.15206370250680E-23
     2    8    9   0.15860341293793E-24   0.33512735007879E-24   0.15199325411547E-23   0.47298173794761E-23
     2    8   10   0.39275820441065E-24   0.96341927443662E-24   0.48007290973386E-23   0.15069266316536E-22
     2    8   11   0.11222097939835E-23   0.29151176719939E-23   0.15001037092156E-22   0.47171049513704E-22
     2    8   12   0.34709363248690E-23   0.92010436033920E-23   0.47822259299595E-22   0.15038638383274E-21
     2    8   13   0.10768119385735E-22   0.28730177485433E-22   0.14975758957091E-21   0.47154632896705E-21
     2    9    1   0.29375066361216E-23   0.32058324537156E-23   0.36928971818339E-23   0.43490514299642E-23
     2    9    2   0.95455274404709E-24   0.10330470359409E-23   0.11718682425481E-23   0.13694648563665E-23
     2    9    3   0.33777948234505E-24   0.36020033980198E-24   0.38862135275430E-24   0.44679978452328E-24
     2    9    4   0.13378734415418E-24   0.14013339958941E-24   0.14492570949472E-24   0.16155525022638E-24
     2    9    5   0.58396365581261E-25   0.75249411794652E-25   0.79682284939497E-25   0.10776332267030E-24
     2    9    6   0.53272182265399E-25   0.59691271011355E-25   0.78223935260964E-25   0.16736876424859E-24
     2    9    7   0.58786429548462E-25   0.75027799356518E-25   0.15944238753737E-24   0.43715450697250E-24
     2    9    8   0.77998102401556E-25   0.12775816187553E-24   0.44328346536739E-24   0.13396570649528E-23
     2    9    9   0.14110188407809E-24   0.29938283318483E-24   0.13347995579530E-23   0.41618258695703E-23
     2    9   10   0.34499222040386E-24   0.85357176801855E-24   0.42107500713600E-23   0.13241471570496E-22
     2    9   11   0.97842629817688E-24   0.25820395603161E-23   0.13141676877157E-22   0.41425744381536E-22
     2    9   12   0.30197210122250E-23   0.81415236413081E-23   0.41865928223029E-22   0.13209352639971E-21
     2    9   13   0.93605636530192E-23   0.25365060047287E-22   0.13129082845493E-21   0.41435135735248E-21
     2   10    1   0.17282213153189E-23   0.18621360274209E-23   0.21209856931725E-23   0.24982131965661E-23
     2   10    2   0.57278239914154E-24   0.61307481099564E-24   0.67851591267484E-24   0.79137450806922E-24
     2   10    3   0.21292855531825E-24   0.22429209659255E-24   0.23217357655260E-24   0.26563002389888E-24
     2   10    4   0.81414682500061E-25   0.94519882567192E-25   0.99148020608943E-25   0.11469724760356E-24
     2   10    5   0.40320911383453E-25   0.58609524436724E-25   0.63458980572759E-25   0.95591438080364E-25
     2   10    6   0.44535838867497E-25   0.52149706328614E-25   0.70124413668082E-25   0.15705650461099E-24
     2   10    7   0.53293711031545E-25   0.69433556602880E-25   0.14394591397320E-24   0.39830054220226E-24
     2   10    8   0.70958907576606E-25   0.11801649086422E-24   0.39544556089141E-24   0.12051003391329E-23
     2   10    9   0.12658152769209E-24   0.27116479620672E-24   0.11859828037992E-23   0.37050826818120E-23
     2   10   10   0.30574722834352E-24   0.76638112107631E-24   0.37322567046388E-23   0.11779200915366E-22
     2   10   11   0.86111504557944E-24   0.23108660967761E-23   0.11639604054128E-22   0.36837590339823E-22
     2   10   12   0.26506021844972E-23   0.72718519810573E-23   0.37116824319573E-22   0.11756839447322E-21
